Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Strength Training,2020-01-08 21:26:35,false,"Strength","0.00","24","00:11:31","85","109","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","61","11","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-07 21:28:33,false,"Strength","0.00","31","00:11:23","81","98","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-06 07:54:24,false,"Strength","0.00","47","00:18:19","79","102","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","3","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2020-01-01 21:13:46,false,"Strength","0.00","14","00:06:02.2","77","91","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-28 21:15:26,false,"Strength","0.00","9","00:04:11.2","75","101","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-26 08:13:53,false,"Strength","0.00","9","00:03:46.1","78","88","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","1","0:00","28.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-24 10:21:07,false,"Strength","0.00","24","00:08:05.7","82","100","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","9","1","0:00","28.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-22 07:41:36,false,"Strength","0.00","36","00:13:20","79","108","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","17","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-19 21:32:16,false,"Strength","0.00","18","00:08:32.6","73","96","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-18 22:16:47,false,"Strength","0.00","13","00:07:01.6","70","93","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-16 22:12:04,false,"Strength","0.00","26","00:10:28","84","100","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","50","7","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-15 10:17:18,false,"Strength","0.00","24","00:08:00.9","84","100","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","4","1","0:00","27.0","0:00","No","00:00.00","1","0.0"
Walking,2019-12-15 08:15:41,false,"Austin Walking","5.05","357","00:43:55","131","161","2.3","114","233","8:42","7:25","45","49","1.02","0.0","0.0","--","--","0.0","0.0","0.0","--","--","0:00","18.0","0:00","No","00:24.13","6","0.0"
Strength Training,2019-12-14 16:34:29,false,"Strength","0.00","34","00:12:42","79","100","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-12 19:32:04,false,"Strength","0.00","22","00:10:22","75","92","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","8","1","0:00","28.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-11 23:30:07,false,"Strength","0.00","45","00:24:49","69","101","0.1","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","6","1","0:00","31.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-10 22:25:07,false,"Strength","0.00","22","00:14:28","70","90","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","36","6","0:00","30.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-08 16:46:36,false,"Strength","0.00","46","00:14:48","90","113","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","198","14","0:00","28.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-04 21:18:37,false,"Strength","0.00","20","00:07:27.7","79","93","0.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","30","1","0:00","29.0","0:00","No","00:00.00","1","0.0"
Strength Training,2019-12-02 20:56:40,false,"Strength","0.00","43","00:09:13.2","97","110","0.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","6","1","0:00","30.0","0:00","No","00:00.00","1","0.0"
